Pagina;Viñeta;Identificacion_Error;Primer_Puntaje;Errores;Puntos_del_error;Causa_del_Error
7;1;1;10;cero sin;-2;
8;1;1;8;Error de matiz;1;"En el primer bocadillo no utiliza en ningún momento la palabra ""ganar"" si no que corresponde a la situación que puede continuar luchando, puede seguir el combate. A eso se refiere."
8;1;2;8;Error de significado;1;En la segunda parte del bocadillo no expresa lo fuerte que es Sanosuke porque siga el combate si no que le está confirmando la posibilidad de continuar la pelea.
8;2;1;8;Error de matiz;1;El significado final del primer bocadillo corresponde al original, o por lo menos lo que se quiere expresar. Sin embargo, el hermano mayor le está insultado, le está llamando tonto. Se siente con la superioridad de hermano mayor para llamarle así y nos expresa la manera con la que le trata. En la traducción no aparece esa palabra peyorativa.
8;2;2;8;Error de Referencia;1;El segundo bocadillo hace referencia a Kenshin y no a Sanosuke como nos hace leer el traductor en la versión española. El personaje que actúa es Kenshin.
8;3;1;5;invención;5;El traductor se inventa la oración por completo, no dice nada del combate y tampoco de que les será útil. Si no que sugiere ir al principio de su plan. 
8;4;1;10;cero;-1;
9;1;1;10;cero;-1;
9;2;1;7;Falta palabra;1;En el primer bocadillo falta la referencia al tamaño de la Zanbatou, en la traducción solo se fija en lo pesada que es.
9;2;2;7;Error de matiz;2;En la traducción habla de la posibilidad de ataque, sin embargo es sobre lo que le limita el ataque.
9;3;1;10;cero;-1;
10;1;1;8;Error de matiz;2;"La coherencia de los bocadillos disipa lo que realmente expresa en el original. No quita significado pero el matiz en cuanto que es lo importante de lo que se dice. En el original dice exactamente que ""Este no será el segundo asalto, si no que será el último"". En ningún momento dice que el segundo asalto será el último. Expresa que nunca hubo segundo asalto, quitándole importancia a las palabras de Sanosuke."
11;1;2;10;cero;-1;
11;2;1;0;invención;10;"¿Cómo es posible que traduzcan una onomatopeya de un grito por un ""maldita sea"". No tiene sentido. Solo para darle más juego al lector pienso."
11;3;1;10;cero sin;-2;
11;4;1;10;cero;-1;
12;1;1;10;cero sin;-2;
13;1;2;10;cero;-1;
13;2;1;9;Error de nombre;1;El nombre de las técnicas al ser de procedencia japonesa e inventada por el mismo autor creo que no se debería traducir. Por eso le pongo este error. 
13;3;1;8;error de matiz;1;No expresa lo mismo la traducción que realiza el traductor. En el original expresa el convencimiento de que Kenshin es más fuerte. Que no es muy grande la diferencia pero la magnitud (el nivel) si es diferente y reconoce lo fuerte que es.
13;3;2;8;error de referencia;1;No habla de nadie más. No menciona a ningún otro contrincante.
13;4;1;0;invención;10;"El traductor se lo inventa. No dice nada de elegir si no que el personaje se está decepcionando por que no está ganando y así lo dice en el bocadillo. ""no estoy ganando""."
13;5;1;6;invención;4;No hace referencia a que no quiere dirigir la espada contra Sanosuke. 
13;6;1;10;cero;-1;
14;1;1;10;cero;-1;
14;2;1;7;Error histórico;2;Los Tokugawa nunca tuvieron un reino ni reinado a su poder. Fue un clan que se hizo con el mando o la dominación del país.
14;2;2;7;Error de matiz;1;Otra de las cosas que no dice es que esa época ya ha terminado. No expresa lo mismo. O esa es mi impresión
14;3;1;5;Falta palabra;3;"La imagen que utiliza la versión original es mucho más fuerte que la de la traducción. El traductor solo utiliza la palabra opresión y débiles pero la palabra de ""quedarse dormido llorando"" no la utiliza. Y es bastante más fuerte, en la que conlleva un sentimiento de desamparo. "
14;3;2;5;Error de matiz;2;"mezcla los dos bocadillos cuando en el original es mucho más descriptivo y enfático poniendo primero a los de arriba y a los de abajo. En el original dice ""ni superiores ni inferiores, la época de la igualdad de las cuatro clases sociales vendrá"". No dice que ya se acabaron las desigualdades si no que vendrá esa nueva época."
14;4;1;10;cero;-1;
14;5;1;6;Falta palabra;1;No habla del tiempo que puede transcurrir, del periodo de uno a 10 años.
14;5;2;6;Falta palabra;1;no habla de su trabajo
14;5;3;6;Error de matiz;2;Y el traductor no expresa en ningún caso lo harto que está Sanosuke de que le diga siempre lo mismo
15;1;1;10;cero;-1;
15;2;1;7;Error de matiz;1;No utiliza la palabra hijos de campesino si no simplemente niños campesinos.
15;2;2;7;Error de significado;1;El original no usa nombre de familia si no que utiliza apellido
15;2;3;7;Falta palabra;1;"Una de las palabras que tampoco utiliza y que expresan el sentimiento de Sanosuke es la palabra ""digno"". "
